approach,definition,n,m,Delta,L,average_k,Q,E_loc,E_glob,gamma
lines,words,3018,10964,0.002408266125268058,3.121839287993177,7.265738899933731,0.3437799519265132,0.5421709063637965,0.34091896197784344,2.3904714666257543
lines,lemmas,2600,10238,0.003030159528812857,3.0569849350341847,7.875384615384616,0.3295588818890252,0.569327250281731,0.3512817626944201,2.368492513798153
lines,lexical,2338,7693,0.002815934241914118,3.6596255499271035,6.580838323353293,0.44363263383248575,0.4308295458274369,0.30056781282734396,2.0499936884745065
closerange,words,3018,17143,0.0037654967334431154,2.9767104503496036,11.360503644797879,0.34184430659892867,0.6296128091782961,0.35501634250576164,2.5373178747857508
closerange,lemmas,2600,15398,0.004557374137982064,2.934808161098494,11.844615384615384,0.32976074777795633,0.6240247375180685,0.36115998827160184,2.40122297228328
closerange,lexical,2338,13052,0.0047775346061956405,3.309992581640553,11.165098374679213,0.4416214036566904,0.6541177534896359,0.3225569348343175,3.8991829413191645
cliques,words,3018,113486,0.024927443404977274,2.0042195177185698,75.20609675281644,0.3017275407623626,0.8845132505229816,0.5076058948491033,2.737347063163001
cliques,lemmas,2600,100410,0.029718530795868232,1.9803569420191198,77.23846153846154,0.2920877146950168,0.8830887841325936,0.5131800199292487,2.9709141764108105
cliques,lexical,2338,57239,0.020951678158445626,2.1094111062672014,48.964071856287426,0.39679133294089364,0.8618804183121275,0.4887501724970218,2.5981463701699212
dependency,words,3018,13245,0.002909292669570908,3.4555750240574015,8.777335984095428,0.37865627049873596,0.3931523270381248,0.30877841570592945,2.6745666250218862
dependency,lemmas,2600,12382,0.003664723118359132,3.3647926717376504,9.524615384615384,0.3504593881505505,0.404572149524148,0.3186599755760476,2.487741437211576
dependency,lexical,2338,8270,0.0030271384610203764,3.7378023026091696,7.074422583404619,0.43706780235960163,0.3670409643129043,0.28739315108496727,2.3058348991467126
IFtrimmed,words,3018,23830,0.00523431063162512,4.084985392034051,15.791915175612989,0.6294141332620963,0.7134569640317129,0.2632266910118736,3.0115009122468184
IFtrimmed,lemmas,2600,20922,0.006192322490898867,4.036010299819457,16.093846153846155,0.5936643664637863,0.7034065362033721,0.26792694004789736,2.7730135309154393
IFtrimmed,lexical,2338,16360,0.005988389990603792,3.924208066537016,13.994867408041062,0.6525247880064085,0.7034965892949735,0.2735578697114722,3.6880716206511868
