sentence_lengths_words,sentence_lengths_lemmas,sentence_lengths_lexical,L_lines_words,L_lines_lemmas,L_lines_lexical,L_closerange_words,L_closerange_lemmas,L_closerange_lexical,L_cliques_words,L_cliques_lemmas,L_cliques_lexical,L_dependency_words,L_dependency_lemmas,L_dependency_lexical,L_IFtrimmed_words,L_IFtrimmed_lemmas,L_IFtrimmed_lexical,average_k_lines_words,average_k_lines_lemmas,average_k_lines_lexical,average_k_closerange_words,average_k_closerange_lemmas,average_k_closerange_lexical,average_k_cliques_words,average_k_cliques_lemmas,average_k_cliques_lexical,average_k_dependency_words,average_k_dependency_lemmas,average_k_dependency_lexical,average_k_IFtrimmed_words,average_k_IFtrimmed_lemmas,average_k_IFtrimmed_lexical
25,23,15,7.0633333333333335,3.841897233201581,3.0476190476190474,4.47,3.6482213438735176,2.6285714285714286,1,1,1,3.6866666666666665,3.2213438735177866,2.7142857142857144,2.02,2.300395256916996,1.6285714285714286,2,2.1739130434782608,2.1333333333333333,3.52,3.217391304347826,3.066666666666667,24,22,14,2.08,2.260869565217391,2.1333333333333333,7.28,5.739130434782608,6.533333333333333
26,25,18,9,5.6866666666666665,4.2745098039215685,5.3938461538461535,3.63,2.6013071895424837,1,1,1,4.181538461538461,3.5933333333333333,3.3137254901960786,2.596923076923077,2.4266666666666667,1.261437908496732,1.9230769230769231,2,2,3.1538461538461537,3.2,3.5555555555555554,25,24,17,2,2.08,2.111111111111111,6.076923076923077,7.04,12.777777777777779
25,25,16,4.586666666666667,4.586666666666667,3.1416666666666666,3.213768115942029,3.06,2.225,1,1,1,3.3033333333333332,3.3033333333333332,3.0416666666666665,2.4133333333333336,2.24,2.15,2.24,2.24,2.25,3.28,3.2,3.75,24,24,15,2.16,2.16,2.125,6.4,8,5
10,10,7,3.0444444444444443,3.0444444444444443,2.6666666666666665,2.7555555555555555,1.45,1.619047619047619,1,1,1,2.688888888888889,2.688888888888889,2.6666666666666665,1.8666666666666667,1.711111111111111,1.6666666666666667,2,2,1.7142857142857142,2.6,2.4,3.142857142857143,9,9,6,2,2,1.7142857142857142,4,4.4,2.857142857142857
11,10,9,4,2.6222222222222222,2.4166666666666665,2.418181818181818,1.8,1.6666666666666667,1,1,1,2.6545454545454548,2.3777777777777778,2.2777777777777777,1.3272727272727274,1.4,1.4166666666666667,1.8181818181818181,2,2,3.272727272727273,3.6,3.5555555555555554,10,9,8,1.8181818181818181,2,2,6.909090909090909,5.8,5.111111111111111
23,22,12,8,5.874458874458875,3.6666666666666665,5.021645021645021,4.404761904761905,2.6363636363636362,1,1,1,3.2094861660079053,3.225108225108225,2.772727272727273,1.901185770750988,1.8181818181818181,2.0757575757575757,1.9130434782608696,2,2,2.608695652173913,2.272727272727273,3.1666666666666665,22,21,11,2.0869565217391304,2.1818181818181817,2.3333333333333335,9.91304347826087,10,3.8333333333333335
12,11,8,4.333333333333333,2.890909090909091,2.3214285714285716,2.4696969696969697,2.709090909090909,2.2857142857142856,1,1,1,2.4242424242424243,2.309090909090909,2.0357142857142856,1.7575757575757576,1.6,1.6785714285714286,1.8333333333333333,2,2,3.1666666666666665,2.5454545454545454,1.75,11,10,7,1.8333333333333333,2,2,5.5,5.2727272727272725,3.25
30,30,23,3.9195402298850577,3.9195402298850577,5.58498023715415,3.415954415954416,3.767195767195767,3.4031620553359683,1,1,1,3.2712643678160918,3.2712643678160918,3.549407114624506,2.4804597701149427,2.1517241379310343,2.0237154150197627,2.533333333333333,2.533333333333333,2.0869565217391304,3,2.8666666666666667,3.5652173913043477,29,29,22,2.6666666666666665,2.6666666666666665,2.260869565217391,8.733333333333333,8.533333333333333,6.608695652173913
14,14,9,4.648351648351649,4.648351648351649,3.3333333333333335,2.858974358974359,3.551282051282051,2.5,1,1,1,2.791208791208791,2.791208791208791,2.4444444444444446,2.6043956043956045,2.076923076923077,1.9722222222222223,2,2,1.7777777777777777,2.7142857142857144,2.4285714285714284,2.4444444444444446,13,13,8,2,2,1.7777777777777777,3.142857142857143,4.428571428571429,3.111111111111111
23,22,16,5.407114624505929,4.372294372294372,4.85,4.298701298701299,3.8380952380952382,3.75,1,1,1,3.1383399209486167,3.1125541125541125,2.966666666666667,1.766798418972332,2.155844155844156,2.0833333333333335,2.0869565217391304,2.1818181818181817,2,2.6956521739130435,2.727272727272727,3.125,22,21,15,2.1739130434782608,2.272727272727273,2.125,9.043478260869565,5.2727272727272725,4.5
18,18,13,3.810457516339869,3.810457516339869,2.730769230769231,2.6209150326797386,3.183006535947712,1.9743589743589745,1,1,1,2.69281045751634,2.69281045751634,2.358974358974359,2.111111111111111,1.7712418300653594,1.3461538461538463,2.3333333333333335,2.3333333333333335,2.3076923076923075,3.4444444444444446,3.111111111111111,3.8461538461538463,17,17,12,2.4444444444444446,2.4444444444444446,2.6153846153846154,5.666666666666667,6.555555555555555,8
35,33,21,5.882352941176471,4.473484848484849,3.8095238095238093,5.096590909090909,4.25,3.2333333333333334,1,1,1,4.035294117647059,3.647727272727273,3.376190476190476,2.1142857142857143,1.803030303030303,1.8666666666666667,2.1714285714285713,2.303030303030303,2.0952380952380953,2.742857142857143,2.6666666666666665,3.0476190476190474,34,32,20,2.342857142857143,2.484848484848485,2.2857142857142856,10.228571428571428,12.727272727272727,6.380952380952381
33,33,23,6.054924242424242,6.054924242424242,8,4.49877750611247,4.403225806451613,4.312252964426878,1,1,1,3.9431818181818183,3.9431818181818183,4.102766798418973,1.9602272727272727,1.918560606060606,2.158102766798419,2.121212121212121,2.121212121212121,1.9130434782608696,2.8484848484848486,2.9696969696969697,3.391304347826087,32,32,22,2.242424242424242,2.242424242424242,2.0869565217391304,12.181818181818182,12.303030303030303,6.608695652173913
19,20,13,5.005847953216374,7,4.666666666666667,3.0718954248366015,4.2105263157894735,2.858974358974359,1,1,1,3.2865497076023393,3.6210526315789475,3.2051282051282053,2.4853801169590644,2.331578947368421,2.1666666666666665,2,1.9,1.8461538461538463,2.9473684210526314,3,3.230769230769231,18,19,12,2.1052631578947367,2,1.8461538461538463,5.578947368421052,6.7,4.461538461538462
16,16,10,5.666666666666667,5.666666666666667,3.6666666666666665,2.6296296296296298,3.35,2.1333333333333333,1,1,1,2.75,2.75,2.577777777777778,2.408333333333333,2.4166666666666665,1.6222222222222222,1.875,1.875,1.8,2.875,3,3.2,15,15,9,1.875,1.875,1.8,6.375,6.25,5.6
19,18,14,4.491228070175438,3.3856209150326797,3.4725274725274726,2.7485380116959064,2.718954248366013,2.2747252747252746,1,1,1,3.0584795321637426,3,2.8241758241758244,2.1871345029239766,3.052287581699346,2.5714285714285716,2.1052631578947367,2.2222222222222223,2.142857142857143,3.789473684210526,3.3333333333333335,3.4285714285714284,18,17,13,2.210526315789474,2.3333333333333335,2.2857142857142856,7.157894736842105,5.333333333333333,5
15,15,10,5.333333333333333,5.333333333333333,3.6666666666666665,2.3278688524590163,3.2476190476190476,2.2444444444444445,1,1,1,2.914285714285714,2.914285714285714,2.6444444444444444,1.9904761904761905,2.1523809523809523,1.2666666666666666,1.8666666666666667,1.8666666666666667,1.8,2.933333333333333,2.8,3,14,14,9,1.8666666666666667,1.8666666666666667,1.8,5.6,5.2,7
24,23,10,4.583333333333333,3.932806324110672,2.4,2.9030612244897958,2.8917748917748916,1.9555555555555555,1,1,1,3.391304347826087,3.0039525691699605,2.422222222222222,2.597826086956522,2.2529644268774702,1.9333333333333333,2.5,2.608695652173913,2.8,2.75,2.869565217391304,3.6,23,22,9,2.3333333333333335,2.4347826086956523,2,5.416666666666667,6.086956521739131,4
15,15,9,5.333333333333333,5.333333333333333,3.3333333333333335,3.419047619047619,3.419047619047619,2.3055555555555554,1,1,1,2.933333333333333,2.933333333333333,2.388888888888889,2.723809523809524,3.057142857142857,2.5277777777777777,1.8666666666666667,1.8666666666666667,1.7777777777777777,3.066666666666667,3.066666666666667,2.4444444444444446,14,14,8,2,2,2,3.466666666666667,3.6,2.4444444444444446
15,15,10,3.419047619047619,3.419047619047619,2.577777777777778,2.7714285714285714,2.3205128205128207,1.6944444444444444,1,1,1,2.7714285714285714,2.7714285714285714,2.466666666666667,2.257142857142857,2.2857142857142856,2.2444444444444445,2.1333333333333333,2.1333333333333333,2,2.8,2.4,3.2,14,14,9,2.1333333333333333,2.1333333333333333,2,5.333333333333333,5.6,3.2
28,28,16,3.7566137566137567,3.7566137566137567,5.666666666666667,2.9316239316239314,2.9515669515669516,3.1,1,1,1,3.1984126984126986,3.1984126984126986,3.1904761904761907,2.695767195767196,2.380952380952381,2.433333333333333,2.4285714285714284,2.4285714285714284,1.875,3.5714285714285716,3.5714285714285716,3.625,27,27,15,2.642857142857143,2.642857142857143,2,7.142857142857143,8.142857142857142,4.875
20,20,11,4.652631578947369,4.652631578947369,4,3.263157894736842,3.2526315789473683,2.5454545454545454,1,1,1,3.2526315789473683,3.2526315789473683,3.0545454545454547,2.263157894736842,2.142105263157895,2.3636363636363638,2,2,1.8181818181818181,3,3,2.909090909090909,19,19,10,2.2,2.2,2,5.6,6.6,3.090909090909091
17,17,9,2.8455882352941178,2.8455882352941178,1.8888888888888888,3.066666666666667,3.066666666666667,1.6071428571428572,1,1,1,2.5220588235294117,2.5220588235294117,2.1666666666666665,1.5294117647058822,1.2720588235294117,1.3055555555555556,2.7058823529411766,2.7058823529411766,2.6666666666666665,2.588235294117647,2.4705882352941178,2.888888888888889,16,16,8,2.588235294117647,2.588235294117647,2.4444444444444446,8.941176470588236,11.764705882352942,5.555555555555555
23,21,14,3.185770750988142,2.942857142857143,2.6153846153846154,2.5142857142857142,2.8421052631578947,2.131868131868132,1,1,1,2.450592885375494,2.3714285714285714,2.142857142857143,2.1067193675889326,1.7666666666666666,1.8571428571428572,2.4347826086956523,2.6666666666666665,2.7142857142857144,3.130434782608696,2.857142857142857,3.7142857142857144,22,20,13,2.782608695652174,2.9523809523809526,3.142857142857143,7.6521739130434785,10.19047619047619,5.428571428571429
22,21,14,6.904761904761905,4.614285714285714,3.4615384615384617,4.6147186147186146,3.219047619047619,2.8351648351648353,1,1,1,3.3766233766233764,3.3095238095238093,2.8351648351648353,3.25974025974026,3.223809523809524,2.2637362637362637,2.090909090909091,2.1904761904761907,2.2857142857142856,3.1818181818181817,3.3333333333333335,3,21,20,13,2.1818181818181817,2.2857142857142856,2.4285714285714284,3.8181818181818183,3.7142857142857144,3.7142857142857144
